"","date","hour","Temperature","kWh"
"252",2016-10-09,2,64,54.6741802797163
"253",2016-10-09,3,64,59.3743544457099
"254",2016-10-09,4,63,52.7121971133852
"255",2016-10-09,5,63,51.298125553276
"256",2016-10-09,6,63,49.8840539931668
"257",2016-10-09,6,61,46.9579991666324
"258",2016-10-09,7,60.1,171.43124189426
"259",2016-10-09,7,57.9,168.212581585073
"260",2016-10-09,8,57,165.481785353023
"261",2016-10-09,9,57,164.067713792914
"262",2016-10-09,9,57,164.067713792914
"263",2016-10-09,10,55,163.512645765219
"264",2016-10-09,11,55,162.098574205109
"265",2016-10-09,12,54,155.436416872785
"266",2016-10-09,13,54,156.35153267983
"267",2016-10-09,14,53.1,157.066057205358
"268",2016-10-09,14,53.1,154.736869838203
"269",2016-10-09,15,53.1,155.651985645248
"270",2016-10-09,15,52,150.597334733077
"271",2016-10-09,16,52,149.183263172968
"272",2016-10-09,16,52,149.183263172968
"273",2016-10-09,16,52,149.183263172968
"274",2016-10-09,17,52,151.214512370436
"275",2016-10-09,17,51.1,147.568600331341
"276",2016-10-09,17,51.1,147.568600331341
"277",2016-10-09,18,51.1,149.599849528809
"278",2016-10-09,19,51.1,144.740457211123
"279",2016-10-09,19,50,139.685806298952
"280",2016-10-09,20,50,14.5130165367418
"281",2016-10-09,20,50,14.5130165367418
"282",2016-10-09,20,50,14.5130165367418
"283",2016-10-09,21,50,10.7697576094782
"284",2016-10-09,21,50,13.0989449766326
"285",2016-10-09,21,50,13.0989449766326
"286",2016-10-09,22,50,15.1301941741005
"287",2016-10-09,23,50,13.7161226139913
"288",2016-10-10,0,48.9,123.201853160524
"289",2016-10-10,1,46.9,120.511438938292
"290",2016-10-10,2,46,121.22596346382
"291",2016-10-10,3,45,118.009126889072
"292",2016-10-10,4,45,117.128634102952
"293",2016-10-10,5,45,115.714562542843
"294",2016-10-10,6,45,116.289940748517
"295",2016-10-10,7,46,247.86157269429
"296",2016-10-10,8,48,252.090425673106
"297",2016-10-10,9,50,253.990091284768
"298",2016-10-10,10,52,255.88975689643
"299",2016-10-10,11,54,257.789422508091
"300",2016-10-10,12,55.9,259.882522979797
"301",2016-10-10,13,57,257.990380123611
"302",2016-10-10,14,57.9,256.631003416266
"303",2016-10-10,15,57.9,255.216931856157
"304",2016-10-10,16,57.9,254.336439070037
"305",2016-10-10,17,55,251.349544078557
"306",2016-10-10,18,53.1,247.690330305809
"307",2016-10-10,19,52,244.812825019859
"308",2016-10-10,20,50,111.085368735136
"309",2016-10-10,21,48.9,107.674284675196
"310",2016-10-10,22,48,104.943488443147
